ID_GRUPO,TITULO
585540,"Secret Life of Walter Mitty, The"
585684,"emboscada mortal, La"
585740,"último narco del Cártel de Juárez, El"
585770,Mataron a Camelia la Texana
585820,Cacería Mortal (Venganza Silenciosa)
585880,Walking with Dinosaurs (2013)
586623,Back to the Future
586862,"Teresa: El cuerpo de Cristo (aka. Theresa, The Body of Christ)"
587181,Shark Tale (Dwa)
587396,Metegol (aka Foosball)
587460,Justin Biebers Believe
587713,"Social Network, The"
588100,"Sorcerers Apprentice, The"
588335,"Monster High: Frights, Camera, Action!"
588522,"Wolf of Wall Street, The"
588781,Karaoke - Café Tacuba - Ingrata
588820,Karaoke - Farruko Feat. Daddy Yankee - Pa romper la discoteca
588821,Karaoke - J Alvarez - La Pregunta
588900,American Hustle
589400,Autor3s
590768,"licenciada blindada, La"
590858,"Green Hornet, The"
590982,Hancock
591201,"justiciero vengador, El"
591244,En viernes no he de morir
591261,Just Go With It
591281,Invincible (2001) - Herzog
591282,"bruja, La"
591540,Charlie St. Cloud
591562,"casa de los espantos, La"
591602,"mafia del crimen, La"
591620,Juan sin miedo
591720,Flushed Away
591801,"dama más peligrosa, La"
591803,"Single Man, A"
591806,Bend It Like Beckham
591809,"gitana blanca, La"
591811,"Chateau Meroux, The"
591829,Den of Lions
591830,Detention (2003)
591832,"escondida, La"
591865,Angels & Demons
591920,Airport 77
591940,Zombieland
592226,"Serpent and the Rainbow, The"
592240,"hija del panadero, La"
593230,Karaoke - Kenny Loggins - Footloose
593440,Penthouse North (aka Blindsided)
593575,Mujer desnuda
593609,An American Affair
593685,"Karate Kid, The (2010)"
594043,"Damned United, The"
594063,"verdadera historia de la llorona, La"
594141,Tangled (2010)
594323,Her
594324,"verdadera historia del señor de los cielos, La"
594326,Nebraska
594327,Ladrón de cadáveres
594565,"solterones, Los"
595159,"Mi niño, mi caballo y yo"
595224,Pure Luck
595270,Whats Eating Gilbert Grape?
595328,Where the Heart Is
595501,Easy A
595683,Source Code
596041,Modisto de señoras
596060,Eat Pray Love
596604,Saving Mr. Banks
596668,Lone Survivor
596881,"Hobbit, The: The Desolation of Smaug"
596943,12 Years a Slave
597047,Misterios de la magia negra
597146,Pasión oculta
597160,Noche de perdición
597200,"Regreso del monstruo, El"
597220,300: Rise of an Empire
597419,Tinieblas
597440,Calibre mortal
597443,"Sexo, pudor y drogas"
597460,Rio 2
597667,Karaoke - The Beatles - Something
597722,Karaoke - Jesse y Joy - Chocolate
598035,Asesino a sueldo (Aka Precio a su cabeza)
598105,Apasionada
598184,Me lleva la tristeza
598185,Que seas feliz
598187,"rancho de la discordia, El"
598224,"Cristeros, Los (Aka Sucedió en Jalisco)"
598241,"rayo justiciero, El"
598349,Tijuana ciudad de narcos
598367,Museo del terror (Aka Terror en el museo)
598368,"Te pusieron dedo, compa Arellano"
598593,"gavilán vengador, El"
598700,Pistolas de oro
598774,"pueblo del terror, El"
598983,Alguien tiene que morir
599126,Dios nos manda vivir
599183,"chicano vengador, El"
599246,Perezosos en Peligro
599542,"huella del chacal, La"
599549,Político por error
599582,"pantera negra, La"
599600,"Padrecito, El"
600241,"justicia del gavilán vengador, La"
600423,Papá nos quita las novias
600426,"sierra del terror, La"
600601,"Analfabeto, El"
600616,"Siete machos, El"
600662,Batteries Not Included
600692,"Volar joven, A"
600704,9 (Nine)
600721,Soy Un Prófugo
600841,Bad Teacher
600860,Hanna (2011)
600864,Charlies Angels: Full Throttle
600920,Enterrados Vivos: Mineros en Chile
600982,Alvin and the Chipmunks: The Squeakquel
601001,Alice in Wonderland
601181,Zoolander
601200,All Is Lost
601380,"Hunchback of Notre Dame, The (Animated) (1996)"
601440,Tarzan 2
601805,"Ministro y yo, El"
601977,180 Segundos
601980,Cuando se quiere se quiere
602214,Días de furia
602216,Acosado
602255,Brief Interviews With Hideous Men
602309,Hombres de honor
602310,"huella del olvido, La"
602317,"lancheras del amor, Las"
602910,"Grey Zone, The"
